shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|5|4|11|0.2894937992095947
(500, 784)|(784, 256)|5|4|12|0.27113819122314453
(500, 784)|(784, 256)|5|4|13|0.24240899085998535
(500, 784)|(784, 256)|5|4|14|0.3997609615325928
(500, 784)|(784, 256)|5|4|15|0.2596399784088135
(500, 784)|(784, 256)|5|4|16|0.37956809997558594
(500, 784)|(784, 256)|6|1|2|0.29362034797668457
(500, 784)|(784, 256)|6|1|3|0.3264939785003662
(500, 784)|(784, 256)|6|1|4|0.27762675285339355
(500, 784)|(784, 256)|6|1|5|0.2810020446777344
(500, 784)|(784, 256)|6|1|6|0.2701549530029297
(500, 784)|(784, 256)|6|1|7|0.3347289562225342
(500, 784)|(784, 256)|6|1|8|0.4857468605041504
(500, 784)|(784, 256)|6|1|9|0.3703632354736328
(500, 784)|(784, 256)|6|1|10|0.3566901683807373
(500, 784)|(784, 256)|6|1|11|0.33752012252807617
(500, 784)|(784, 256)|6|1|12|0.33907008171081543
(500, 784)|(784, 256)|6|1|13|0.27957987785339355
(500, 784)|(784, 256)|6|1|14|0.3274500370025635
(500, 784)|(784, 256)|6|1|15|0.25509214401245117
(500, 784)|(784, 256)|6|1|16|0.261106014251709
(500, 784)|(784, 256)|6|2|3|0.37695908546447754
(500, 784)|(784, 256)|6|2|4|0.30057501792907715
(500, 784)|(784, 256)|6|2|5|0.34557533264160156
(500, 784)|(784, 256)|6|2|6|0.32199883460998535
(500, 784)|(784, 256)|6|2|7|0.3495669364929199
(500, 784)|(784, 256)|6|2|8|0.32372403144836426
(500, 784)|(784, 256)|6|2|9|0.3567769527435303
(500, 784)|(784, 256)|6|2|10|0.35613107681274414
(500, 784)|(784, 256)|6|2|11|0.3390309810638428
(500, 784)|(784, 256)|6|2|12|0.37964296340942383
(500, 784)|(784, 256)|6|2|13|0.3218052387237549
(500, 784)|(784, 256)|6|2|14|0.2522549629211426
(500, 784)|(784, 256)|6|2|15|0.2565169334411621
(500, 784)|(784, 256)|6|2|16|0.29172396659851074
(500, 784)|(784, 256)|6|3|4|0.3612668514251709
(500, 784)|(784, 256)|6|3|5|0.3492302894592285
(500, 784)|(784, 256)|6|3|6|0.3738389015197754
(500, 784)|(784, 256)|6|3|7|0.2930111885070801
(500, 784)|(784, 256)|6|3|8|0.3377063274383545
(500, 784)|(784, 256)|6|3|9|0.5100889205932617
(500, 784)|(784, 256)|6|3|10|0.34133410453796387
(500, 784)|(784, 256)|6|3|11|0.39102697372436523
(500, 784)|(784, 256)|6|3|12|0.31011199951171875
(500, 784)|(784, 256)|6|3|13|0.3856539726257324
(500, 784)|(784, 256)|6|3|14|0.3475656509399414
(500, 784)|(784, 256)|6|3|15|0.46135783195495605
(500, 784)|(784, 256)|6|3|16|0.2896559238433838
(500, 784)|(784, 256)|6|4|5|0.2906639575958252
(500, 784)|(784, 256)|6|4|6|0.34949707984924316
(500, 784)|(784, 256)|6|4|7|0.7271602153778076
(500, 784)|(784, 256)|6|4|8|0.577894926071167
(500, 784)|(784, 256)|6|4|9|0.3533949851989746
(500, 784)|(784, 256)|6|4|10|0.4310300350189209
(500, 784)|(784, 256)|6|4|11|0.29342103004455566
(500, 784)|(784, 256)|6|4|12|0.2532980442047119
(500, 784)|(784, 256)|6|4|13|0.25244688987731934
(500, 784)|(784, 256)|6|4|14|0.3572988510131836
(500, 784)|(784, 256)|6|4|15|0.25152111053466797
(500, 784)|(784, 256)|6|4|16|0.2792379856109619
(500, 784)|(784, 256)|6|5|6|0.351210355758667
(500, 784)|(784, 256)|6|5|7|0.33593201637268066
(500, 784)|(784, 256)|6|5|8|0.3450789451599121
(500, 784)|(784, 256)|6|5|9|0.374924898147583
(500, 784)|(784, 256)|6|5|10|0.3959181308746338
(500, 784)|(784, 256)|6|5|11|0.3224520683288574
(500, 784)|(784, 256)|6|5|12|0.3700559139251709
(500, 784)|(784, 256)|6|5|13|0.32180309295654297
(500, 784)|(784, 256)|6|5|14|0.42943263053894043
(500, 784)|(784, 256)|6|5|15|0.38705992698669434
(500, 784)|(784, 256)|6|5|16|0.3255939483642578
(500, 784)|(784, 256)|7|1|2|0.3479480743408203
(500, 784)|(784, 256)|7|1|3|0.24654293060302734
(500, 784)|(784, 256)|7|1|4|0.34618496894836426
(500, 784)|(784, 256)|7|1|5|0.3228311538696289
(500, 784)|(784, 256)|7|1|6|0.3650171756744385
(500, 784)|(784, 256)|7|1|7|0.312453031539917
(500, 784)|(784, 256)|7|1|8|0.31735873222351074
(500, 784)|(784, 256)|7|1|9|0.3069491386413574
(500, 784)|(784, 256)|7|1|10|0.26926088333129883
(500, 784)|(784, 256)|7|1|11|0.4175989627838135
(500, 784)|(784, 256)|7|1|12|0.31915998458862305
(500, 784)|(784, 256)|7|1|13|0.23121190071105957
(500, 784)|(784, 256)|7|1|14|0.27974486351013184
(500, 784)|(784, 256)|7|1|15|0.25032711029052734
(500, 784)|(784, 256)|7|1|16|0.32123494148254395
(500, 784)|(784, 256)|7|2|3|0.3799419403076172
(500, 784)|(784, 256)|7|2|4|0.29558777809143066
(500, 784)|(784, 256)|7|2|5|0.34555792808532715
(500, 784)|(784, 256)|7|2|6|0.3191392421722412
(500, 784)|(784, 256)|7|2|7|0.34738588333129883
(500, 784)|(784, 256)|7|2|8|0.3017909526824951
(500, 784)|(784, 256)|7|2|9|0.3597841262817383
(500, 784)|(784, 256)|7|2|10|0.39226293563842773
(500, 784)|(784, 256)|7|2|11|0.32396411895751953
(500, 784)|(784, 256)|7|2|12|0.3353099822998047
(500, 784)|(784, 256)|7|2|13|0.30347204208374023
(500, 784)|(784, 256)|7|2|14|0.2636067867279053
(500, 784)|(784, 256)|7|2|15|0.28706884384155273
(500, 784)|(784, 256)|7|2|16|0.37297797203063965
(500, 784)|(784, 256)|7|3|4|0.43699193000793457
(500, 784)|(784, 256)|7|3|5|0.3598921298980713
(500, 784)|(784, 256)|7|3|6|0.32605791091918945
(500, 784)|(784, 256)|7|3|7|0.3713839054107666
(500, 784)|(784, 256)|7|3|8|0.33582186698913574
(500, 784)|(784, 256)|7|3|9|0.418363094329834
(500, 784)|(784, 256)|7|3|10|0.31907081604003906
(500, 784)|(784, 256)|7|3|11|0.3424370288848877
(500, 784)|(784, 256)|7|3|12|0.33504819869995117
(500, 784)|(784, 256)|7|3|13|0.28502392768859863
(500, 784)|(784, 256)|7|3|14|0.409451961517334
(500, 784)|(784, 256)|7|3|15|0.3612179756164551
