shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|5|1|31|0.26951098442077637
(500, 784)|(784, 256)|5|1|32|0.2542130947113037
(500, 784)|(784, 256)|5|2|3|0.29167819023132324
(500, 784)|(784, 256)|5|2|4|0.3075227737426758
(500, 784)|(784, 256)|5|2|5|0.2833900451660156
(500, 784)|(784, 256)|5|2|6|0.3166377544403076
(500, 784)|(784, 256)|5|2|7|0.27824997901916504
(500, 784)|(784, 256)|5|2|8|0.2659950256347656
(500, 784)|(784, 256)|5|2|9|0.32083702087402344
(500, 784)|(784, 256)|5|2|10|0.3786129951477051
(500, 784)|(784, 256)|5|2|11|0.3262181282043457
(500, 784)|(784, 256)|5|2|12|0.3031489849090576
(500, 784)|(784, 256)|5|2|13|0.26247620582580566
(500, 784)|(784, 256)|5|2|14|0.3578500747680664
(500, 784)|(784, 256)|5|2|15|0.3392200469970703
(500, 784)|(784, 256)|5|2|16|0.327955961227417
(500, 784)|(784, 256)|5|2|17|0.3474917411804199
(500, 784)|(784, 256)|5|2|18|0.22864937782287598
(500, 784)|(784, 256)|5|2|19|0.2530097961425781
(500, 784)|(784, 256)|5|2|20|0.2723877429962158
(500, 784)|(784, 256)|5|2|21|0.30204224586486816
(500, 784)|(784, 256)|5|2|22|0.2428300380706787
(500, 784)|(784, 256)|5|2|23|0.2918992042541504
(500, 784)|(784, 256)|5|2|24|0.2565639019012451
(500, 784)|(784, 256)|5|2|25|0.23123884201049805
(500, 784)|(784, 256)|5|2|26|0.22983288764953613
(500, 784)|(784, 256)|5|2|27|0.2700231075286865
(500, 784)|(784, 256)|5|2|28|0.2306358814239502
(500, 784)|(784, 256)|5|2|29|0.28130507469177246
(500, 784)|(784, 256)|5|2|30|0.31153202056884766
(500, 784)|(784, 256)|5|2|31|0.2745840549468994
(500, 784)|(784, 256)|5|2|32|0.32529211044311523
(500, 784)|(784, 256)|5|3|4|0.41638994216918945
(500, 784)|(784, 256)|5|3|5|0.3804359436035156
(500, 784)|(784, 256)|5|3|6|0.3189961910247803
(500, 784)|(784, 256)|5|3|7|0.3040907382965088
(500, 784)|(784, 256)|5|3|8|0.3998839855194092
(500, 784)|(784, 256)|5|3|9|0.3364269733428955
(500, 784)|(784, 256)|5|3|10|0.3673088550567627
(500, 784)|(784, 256)|5|3|11|0.33498096466064453
(500, 784)|(784, 256)|5|3|12|0.3203599452972412
(500, 784)|(784, 256)|5|3|13|0.35842275619506836
(500, 784)|(784, 256)|5|3|14|0.35616421699523926
(500, 784)|(784, 256)|5|3|15|0.3879706859588623
(500, 784)|(784, 256)|5|3|16|0.31676483154296875
(500, 784)|(784, 256)|5|3|17|0.36194396018981934
(500, 784)|(784, 256)|5|3|18|0.3429718017578125
(500, 784)|(784, 256)|5|3|19|0.4058952331542969
(500, 784)|(784, 256)|5|3|20|0.3156239986419678
(500, 784)|(784, 256)|5|3|21|0.3355588912963867
(500, 784)|(784, 256)|5|3|22|0.33797192573547363
(500, 784)|(784, 256)|5|3|23|0.3331928253173828
(500, 784)|(784, 256)|5|3|24|0.30690789222717285
(500, 784)|(784, 256)|5|3|25|0.3449380397796631
(500, 784)|(784, 256)|5|3|26|0.36164093017578125
(500, 784)|(784, 256)|5|3|27|0.3164103031158447
(500, 784)|(784, 256)|5|3|28|0.37690281867980957
(500, 784)|(784, 256)|5|3|29|0.30177998542785645
(500, 784)|(784, 256)|5|3|30|0.32100391387939453
(500, 784)|(784, 256)|5|3|31|0.3821530342102051
(500, 784)|(784, 256)|5|3|32|0.3574190139770508
(500, 784)|(784, 256)|5|4|5|0.30019307136535645
(500, 784)|(784, 256)|5|4|6|0.3724179267883301
(500, 784)|(784, 256)|5|4|7|0.28925204277038574
(500, 784)|(784, 256)|5|4|8|0.2922821044921875
(500, 784)|(784, 256)|5|4|9|0.3365030288696289
(500, 784)|(784, 256)|5|4|10|0.22509503364562988
(500, 784)|(784, 256)|5|4|11|0.2938969135284424
(500, 784)|(784, 256)|5|4|12|0.28984880447387695
(500, 784)|(784, 256)|5|4|13|0.3028879165649414
(500, 784)|(784, 256)|5|4|14|0.39927077293395996
(500, 784)|(784, 256)|5|4|15|0.24956512451171875
(500, 784)|(784, 256)|5|4|16|0.34430527687072754
(500, 784)|(784, 256)|5|4|17|0.33521413803100586
(500, 784)|(784, 256)|5|4|18|0.2561659812927246
